#1
double tab1(8760,3)
# Date
# aer_gen_co2e
# price
921600	0.2916	0.396
925200	0.22190000000000001	0.525
928800	0.2095	0.497
932400	0.216	0.452
936000	0.2315	0.392
939600	0.2768	0.311
943200	0.31880000000000003	0.2
946800	0.3382	0.111
950400	0.3544	0.072
954000	0.36710000000000004	0.044
957600	0.36660000000000004	0.02
961200	0.3663	0.011
964800	0.36419999999999997	0.033
968400	0.3361	0.11
972000	0.266	0.267
975600	0.21630000000000002	0.308
979200	0.10679999999999999	0.216
982800	0.0993	0.158
986400	0.1037	0.126
990000	0.1071	0.105
993600	0.1043	0.132
997200	0.0979	0.183
1000800	0.09670000000000001	0.249
1004400	0.1753	0.312
1008000	0.229	0.396
1011600	0.2073	0.525
1015200	0.21980000000000002	0.497
1018800	0.2061	0.452
1022400	0.203	0.392
1026000	0.2504	0.311
1029600	0.2848	0.2
1033200	0.3235	0.111
1036800	0.3383	0.072
1040400	0.3448	0.044
1044000	0.345	0.02
1047600	0.3449	0.011
1051200	0.343	0.033
1054800	0.3147	0.11
1058400	0.235	0.267
1062000	0.1507	0.308
1065600	0.0804	0.216
1069200	0.077	0.158
1072800	0.08159999999999999	0.126
1076400	0.0855	0.105
1080000	0.0839	0.132
1083600	0.08059999999999999	0.183
1087200	0.0824	0.249
1090800	0.1414	0.312
1094400	0.2341	0.396
1098000	0.189	0.525
1101600	0.19090000000000001	0.497
1105200	0.1994	0.452
1108800	0.2181	0.392
1112400	0.2511	0.311
1116000	0.294	0.2
1119600	0.3207	0.111
1123200	0.3402	0.072
1126800	0.3513	0.044
1130400	0.3517	0.02
1134000	0.3527	0.011
1137600	0.3536	0.033
1141200	0.3547	0.11
1144800	0.3306	0.267
1148400	0.1941	0.308
1152000	0.10909999999999999	0.216
1155600	0.0968	0.158
1159200	0.0978	0.126
1162800	0.10479999999999999	0.105
1166400	0.10629999999999999	0.132
1170000	0.10690000000000001	0.183
1173600	0.1174	0.249
1177200	0.2169	0.312
1180800	0.2905	0.396
1184400	0.2303	0.525
1188000	0.2189	0.497
1191600	0.228	0.452
1195200	0.2401	0.392
1198800	0.26839999999999997	0.311
1202400	0.2983	0.2
1206000	0.3356	0.111
1209600	0.343	0.072
1213200	0.3363	0.044
1216800	0.3301	0.02
1220400	0.32330000000000003	0.011
1224000	0.3225	0.033
1227600	0.321	0.11
1231200	0.32030000000000003	0.267
1234800	0.21730000000000002	0.308
1238400	0.11109999999999999	0.216
1242000	0.09770000000000001	0.158
1245600	0.0952	0.126
1249200	0.10490000000000001	0.105
1252800	0.1047	0.132
1256400	0.0995	0.183
1260000	0.1027	0.249
1263600	0.1769	0.312
1267200	0.2657	0.396
1270800	0.212	0.525
1274400	0.2014	0.497
1278000	0.2047	0.452
1281600	0.217	0.392
1285200	0.2362	0.311
1288800	0.2714	0.2
1292400	0.2933	0.111
1296000	0.30889999999999995	0.072
1299600	0.30060000000000003	0.044
1303200	0.29719999999999996	0.02
1306800	0.298	0.011
1310400	0.3053	0.033
1314000	0.2873	0.11
1317600	0.2689	0.267
1321200	0.1749	0.308
1324800	0.0879	0.216
1328400	0.0836	0.158
1332000	0.0833	0.126
1335600	0.085	0.105
1339200	0.08220000000000001	0.132
1342800	0.079	0.183
1346400	0.0805	0.249
1350000	0.1454	0.312
1353600	0.2454	0.396
1357200	0.19069999999999998	0.525
1360800	0.19640000000000002	0.497
1364400	0.1948	0.452
1368000	0.2152	0.392
1371600	0.2402	0.311
1375200	0.269	0.2
1378800	0.3065	0.111
1382400	0.3292	0.072
1386000	0.3346	0.044
1389600	0.3365	0.02
1393200	0.338	0.011
1396800	0.3396	0.033
1400400	0.2794	0.11
1404000	0.2502	0.267
1407600	0.1789	0.308
1411200	0.0948	0.216
1414800	0.0916	0.158
1418400	0.09409999999999999	0.126
1422000	0.09540000000000001	0.105
1425600	0.09240000000000001	0.132
1429200	0.09040000000000001	0.183
1432800	0.091	0.249
1436400	0.1683	0.312
1440000	0.2444	0.396
1443600	0.2024	0.525
1447200	0.2045	0.497
1450800	0.2066	0.452
1454400	0.22219999999999998	0.392
1458000	0.2397	0.311
1461600	0.2882	0.2
1465200	0.3371	0.111
1468800	0.3474	0.072
1472400	0.347	0.044
1476000	0.3461	0.02
1479600	0.3445	0.011
1483200	0.3442	0.033
1486800	0.30739999999999995	0.11
1490400	0.25989999999999996	0.267
1494000	0.2002	0.308
1497600	0.11090000000000001	0.216
1501200	0.1071	0.158
1504800	0.1071	0.126
1508400	0.1105	0.105
1512000	0.1072	0.132
1515600	0.104	0.183
1519200	0.1087	0.249
1522800	0.18209999999999998	0.312
1526400	0.25780000000000003	0.396
1530000	0.2009	0.525
1533600	0.1993	0.497
1537200	0.2049	0.452
1540800	0.2307	0.392
1544400	0.234	0.311
1548000	0.2814	0.2
1551600	0.31489999999999996	0.111
1555200	0.3333	0.072
1558800	0.3345	0.044
1562400	0.3356	0.02
1566000	0.3329	0.011
1569600	0.3317	0.033
1573200	0.3024	0.11
1576800	0.2471	0.267
1580400	0.1956	0.308
1584000	0.1149	0.216
1587600	0.1161	0.158
1591200	0.1138	0.126
1594800	0.1166	0.105
1598400	0.1159	0.132
1602000	0.1123	0.183
1605600	0.1259	0.249
1609200	0.1941	0.312
1612800	0.2312	0.396
1616400	0.1822	0.525
1620000	0.17959999999999998	0.497
1623600	0.192	0.452
1627200	0.2132	0.392
1630800	0.2427	0.311
1634400	0.2817	0.2
1638000	0.30560000000000004	0.111
1641600	0.302	0.072
1645200	0.2893	0.044
1648800	0.277	0.02
1652400	0.2779	0.011
1656000	0.29919999999999997	0.033
1659600	0.3098	0.11
1663200	0.26680000000000004	0.267
1666800	0.2196	0.308
1670400	0.1384	0.216
1674000	0.13069999999999998	0.158
1677600	0.1205	0.126
1681200	0.1217	0.105
1684800	0.13190000000000002	0.132
1688400	0.1395	0.183
1692000	0.1453	0.249
